reliability,paper,subj_id,experiment,stimuli,training,hab,first.test,goal,mitten,causal,ageday,sex,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,n_hab,total_hab,firstthree,lastthree,habbed,T1,T2,T3,T4,T5,T6,ineff.1,ineff.2,ineff.3,eff.1,eff.2,eff.3,prop.ineff1,prop.ineff2,prop.ineff3,prop.ineff.all,avg.ineff,avg.eff,pref
1,LBS,S1_1,Exp.1,"H1, T1",no.training,constrained,efficient,state.change,yes.mitten,yes.causal,122,f,9.7,5.6,7.5,18.3,11.1,8.3,8.8,11.9,11.5,10.4,8.2,9.5,12,120.8,22.8,28.1,0,7.8,11,8.7,11.5,15.3,18.7,11,11.5,18.7,7.8,8.7,15.3,0.5851,0.5693,0.55,0.568138,13.733333,10.6,ineff
0,LBS,S1_10,Exp.1,"H1, T1",no.training,constrained,efficient,state.change,yes.mitten,yes.causal,91,m,45,45,45,42.2,45,45,40.3,23.7,45,29.3,6.5,42.8,12,454.8,135,78.6,0,45,45,45,41.7,17.5,15.6,45,41.7,15.6,45,45,17.5,0.5,0.481,0.4713,0.484089,34.1,35.833333,eff
0,LBS,S1_11,Exp.1,"H1, T1",no.training,constrained,efficient,state.change,yes.mitten,yes.causal,113,f,6.3,14.5,21.5,16.5,8.4,29.8,12.7,16.8,4.8,12.3,6.1,11.7,12,161.4,42.3,30.1,0,5.3,45,19.2,1.4,1.1,1.6,45,1.4,1.6,5.3,19.2,1.1,0.8946,0.068,0.5926,0.518395,16,8.533333,ineff
1,LBS,S1_12,Exp.1,"H1, T1",no.training,constrained,efficient,state.change,yes.mitten,yes.causal,95,m,28.2,16.7,11.6,12.7,36.3,45,15.2,45,13.2,45,12.3,22.2,12,303.4,56.5,79.5,0,14.8,23.8,33.4,45,26,8.9,23.8,45,8.9,14.8,33.4,26,0.6166,0.574,0.255,0.481858,25.9,24.733333,ineff
1,LBS,S1_16,Exp.1,"H1, T1",no.training,constrained,efficient,state.change,yes.mitten,yes.causal,103,m,45,21,19.7,18.6,45,45,11.6,23.9,29.5,21.2,5.7,27.9,12,314.1,85.7,54.8,0,28.1,45,15,23.6,5.8,12,45,23.6,12,28.1,15,5.8,0.6156,0.6114,0.6742,0.633717,26.866667,16.3,ineff
1,LBS,S1_19,Exp.1,"H1, T1",no.training,constrained,efficient,state.change,yes.mitten,yes.causal,104,f,8.5,4,5.9,4.3,3.9,15.2,6.1,4,6.1,0.6,5.3,6.7,12,70.6,18.4,12.6,0,17.4,6.9,3.7,8.3,8.1,12.8,6.9,8.3,12.8,17.4,3.7,8.1,0.284,0.6917,0.6124,0.529352,9.333333,9.733333,eff
0,LBS,S1_3,Exp.1,"H1, T1",no.training,constrained,efficient,state.change,yes.mitten,yes.causal,118,m,39.6,13.3,17.9,45,26.6,10,45,30.1,11.7,16.4,6.4,,11,262,70.8,34.5,1,8.3,19.4,9.7,12.8,22.1,15.1,19.4,12.8,15.1,8.3,9.7,22.1,0.7004,0.5689,0.4059,0.558388,15.766667,13.366667,ineff
0,LBS,S1_4,Exp.1,"H1, T1",no.training,constrained,efficient,state.change,yes.mitten,yes.causal,111,m,43.8,11.3,14.3,5.5,8.2,16.7,,,,,,,6,99.8,69.4,30.4,1,6.5,11.9,16.4,5.2,11.7,44.6,11.9,5.2,44.6,6.5,16.4,11.7,0.6467,0.2407,0.7922,0.559888,20.566667,11.533333,ineff
0,LBS,S1_6,Exp.1,"H1, T1",no.training,constrained,efficient,state.change,yes.mitten,yes.causal,97,f,29.3,7.3,17.1,15.4,14.7,21.5,28,11.9,6.8,16.4,4.9,7.4,12,180.7,53.7,28.7,0,30.6,7.8,17,6.6,6.6,6.1,7.8,6.6,6.1,30.6,17,6.6,0.2031,0.2797,0.4803,0.321034,6.833333,18.066667,eff
1,LBS,S1_7,Exp.1,"H1, T1",no.training,constrained,efficient,state.change,yes.mitten,yes.causal,122,f,6.5,6.1,7.4,14.9,45,44.4,6.4,18.5,45,18.5,6.5,6.8,12,226,20,31.8,0,10.1,41.9,5.7,12.1,18.5,5.3,41.9,12.1,5.3,10.1,5.7,18.5,0.8058,0.6798,0.2227,0.569411,19.766667,11.433333,ineff
0,LBS,S1_22,Exp.1,"H1, T1",no.training,constrained,inefficient,state.change,yes.mitten,yes.causal,121,m,23.6,9.5,14.5,4.7,8.1,8.9,,,,,,,6,69.3,47.6,21.7,1,22.3,16.5,6.9,2.7,4.6,6.6,22.3,6.9,4.6,16.5,2.7,6.6,0.5747,0.7188,0.4107,0.568069,11.266667,8.6,ineff
0,LBS,S1_28,Exp.1,"H1, T1",no.training,constrained,inefficient,state.change,yes.mitten,yes.causal,106,f,12.1,8.1,8,12.3,21.6,18.1,11.8,14.9,18.4,19.1,7.9,29.7,12,182,28.2,56.7,0,8.5,5.3,28.3,5.3,4.5,42.1,8.5,28.3,4.5,5.3,5.3,42.1,0.6159,0.8423,0.0966,0.518257,13.766667,17.566667,eff
0,LBS,S1_29,Exp.1,"H1, T1",no.training,constrained,inefficient,state.change,yes.mitten,yes.causal,114,m,19.2,16.3,4.6,5.7,9.2,10.9,9.2,13,7.8,13.1,5.2,6.4,12,120.6,40.1,24.7,0,6.2,9.4,5.4,4,3.8,3.2,6.2,5.4,3.8,9.4,4,3.2,0.3974,0.5745,0.5429,0.50492,5.133333,5.533333,eff
