orig.method,recoded.method,experiment,coder,trial,look.recoded,look.orig,gap,agree
xhab,datavyu,Exp.3,BP,1,31.02,33.5,-2.48,1
xhab,datavyu,Exp.3,BP,5,2.871,3.4,-0.529,1
xhab,datavyu,Exp.3,BP,6,5.115,5.5,-0.385,1
xhab,datavyu,Exp.3,BP,2,6.27,6.6,-0.33,1
xhab,datavyu,Exp.3,BP,3,15.378,15,0.378,1
xhab,datavyu,Exp.3,BP,4,22.143,18.9,3.243,1
xhab,datavyu,Exp.3,NG,6,10.923,12,-1.077,1
xhab,datavyu,Exp.3,NG,1,27.225,28.1,-0.875,1
xhab,datavyu,Exp.3,NG,3,14.718,15,-0.282,1
xhab,datavyu,Exp.3,NG,4,23.595,23.6,-0.005,1
xhab,datavyu,Exp.3,NG,2,45,45,0,1
xhab,datavyu,Exp.3,NG,5,10.89,5.8,5.09,0
xhab,datavyu,Exp.3,BP,3,4.917,5.7,-0.783,1
xhab,datavyu,Exp.3,BP,1,9.504,10.1,-0.596,1
xhab,datavyu,Exp.3,BP,5,18.612,18.5,0.112,1
xhab,datavyu,Exp.3,BP,6,5.511,5.3,0.211,1
xhab,datavyu,Exp.3,BP,4,12.837,12.1,0.737,1
xhab,datavyu,Exp.3,BP,2,45,41.9,3.1,1
xhab,datavyu,Exp.3,BP,5,5.709,8.1,-2.391,1
xhab,datavyu,Exp.3,BP,4,7.491,8.3,-0.809,1
xhab,datavyu,Exp.3,BP,3,3.234,3.7,-0.466,1
xhab,datavyu,Exp.3,BP,1,18.117,17.4,0.717,1
xhab,datavyu,Exp.3,BP,6,14.685,12.8,1.885,1
xhab,datavyu,Exp.3,BP,2,11.022,6.9,4.122,1
xhab,datavyu,Exp.3,NG,1,6.6,9,-2.4,1
xhab,datavyu,Exp.3,NG,3,6.171,7.1,-0.929,1
xhab,datavyu,Exp.3,NG,6,6.732,7.2,-0.468,1
xhab,datavyu,Exp.3,NG,2,13.398,13.7,-0.302,1
xhab,datavyu,Exp.3,NG,4,15.213,15,0.213,0
xhab,datavyu,Exp.3,NG,5,22.737,22.4,0.337,1
xhab,datavyu,Exp.3,BP,5,4.752,5.3,-0.548,1
xhab,datavyu,Exp.3,BP,3,2.409,2.9,-0.491,1
xhab,datavyu,Exp.3,BP,6,2.046,2.3,-0.254,1
xhab,datavyu,Exp.3,BP,2,6.27,6.5,-0.23,1
xhab,datavyu,Exp.3,BP,4,2.112,2.3,-0.188,1
xhab,datavyu,Exp.3,BP,1,7.095,6.8,0.295,1
xhab,datavyu,Exp.3,DE,6,7.887,8.9,-1.013,1
xhab,datavyu,Exp.3,DE,4,45,45,0,1
xhab,datavyu,Exp.3,DE,3,33.495,33.4,0.095,1
xhab,datavyu,Exp.3,DE,2,24.387,23.8,0.587,1
xhab,datavyu,Exp.3,DE,1,15.51,14.8,0.71,1
xhab,datavyu,Exp.3,DE,5,28.38,26,2.38,1
xhab,datavyu,Exp.3,NG,2,6.534,7,-0.466,1
xhab,datavyu,Exp.3,NG,6,6.336,6.8,-0.464,1
xhab,datavyu,Exp.3,NG,1,7.491,7.9,-0.409,0
xhab,datavyu,Exp.3,NG,5,11.88,12.2,-0.32,1
xhab,datavyu,Exp.3,NG,3,45,45,0,1
xhab,datavyu,Exp.3,NG,4,10.032,9.6,0.432,1
xhab,datavyu,Exp.3,DE,6,4.323,5.9,-1.577,1
xhab,datavyu,Exp.3,DE,4,3.828,4.5,-0.672,1
xhab,datavyu,Exp.3,DE,1,23.199,23.7,-0.501,1
xhab,datavyu,Exp.3,DE,3,6.996,7.4,-0.404,1
xhab,datavyu,Exp.3,DE,5,9.339,7.4,1.939,1
xhab,datavyu,Exp.3,DE,2,32.571,26.7,5.871,0
xhab,datavyu,Exp.3,BP,2,2.739,3.1,-0.361,1
xhab,datavyu,Exp.3,BP,4,2.937,3.2,-0.263,1
xhab,datavyu,Exp.3,BP,1,7.26,6.5,0.76,1
xhab,datavyu,Exp.3,BP,3,3.234,2.2,1.034,0
xhab,datavyu,Exp.3,BP,6,4.257,2.9,1.357,0
xhab,datavyu,Exp.3,BP,5,21.483,13.4,8.083,0
xhab,datavyu,Exp.3,DE,6,5.709,11.1,-5.391,0
xhab,datavyu,Exp.3,DE,3,6.402,7.2,-0.798,1
xhab,datavyu,Exp.3,DE,5,7.128,7.9,-0.772,1
xhab,datavyu,Exp.3,DE,1,15.765,16.2,-0.435,1
xhab,datavyu,Exp.3,DE,4,10.494,8.7,1.794,1
xhab,datavyu,Exp.3,DE,2,15.411,12.3,3.111,1
xhab,datavyu,Exp.3,NG,6,4.587,7.7,-3.113,1
xhab,datavyu,Exp.3,NG,2,4.191,5.1,-0.909,1
xhab,datavyu,Exp.3,NG,4,3.861,4.7,-0.839,1
xhab,datavyu,Exp.3,NG,3,10.197,10.5,-0.303,1
xhab,datavyu,Exp.3,NG,5,4.356,4.5,-0.144,1
xhab,datavyu,Exp.3,NG,1,9.075,7.7,1.375,0
xhab,datavyu,Exp.3,NG,4,20.196,20.9,-0.704,1
xhab,datavyu,Exp.3,NG,1,8.943,8.7,0.243,1
xhab,datavyu,Exp.3,NG,6,3.663,3.1,0.563,1
xhab,datavyu,Exp.3,NG,2,43.164,37.9,5.264,0
xhab,datavyu,Exp.3,NG,3,45,39.6,5.4,0
xhab,datavyu,Exp.3,NG,5,45,39.4,5.6,0
xhab,datavyu,Exp.3,BP,6,2.145,2,0.145,1
xhab,datavyu,Exp.3,BP,1,2.871,2.2,0.671,1
xhab,datavyu,Exp.3,BP,5,3.267,2.3,0.967,1
xhab,datavyu,Exp.3,BP,2,2.871,1.2,1.671,1
xhab,datavyu,Exp.3,BP,4,4.719,2.1,2.619,0
xhab,datavyu,Exp.3,BP,3,5.016,2.2,2.816,0
xhab,datavyu,Exp.3,DE,3,11.979,30.2,-18.221,0
xhab,datavyu,Exp.3,DE,1,4.422,15.7,-11.278,0
xhab,datavyu,Exp.3,DE,4,5.379,7.9,-2.521,1
xhab,datavyu,Exp.3,DE,2,9.405,11.1,-1.695,1
xhab,datavyu,Exp.3,DE,6,4.488,5.3,-0.812,1
xhab,datavyu,Exp.3,DE,5,19.899,20.1,-0.201,1
xhab,datavyu,Exp.3,DE,1,4.884,5.3,-0.416,1
xhab,datavyu,Exp.3,DE,5,4.092,4.5,-0.408,1
xhab,datavyu,Exp.3,DE,2,2.211,2.6,-0.389,1
xhab,datavyu,Exp.3,DE,4,2.079,2.4,-0.321,1
xhab,datavyu,Exp.3,DE,6,4.488,4.6,-0.112,1
xhab,datavyu,Exp.3,DE,3,4.983,5,-0.017,1
xhab,datavyu,Exp.3,BP,1,9.603,11.6,-1.997,1
xhab,datavyu,Exp.3,BP,3,1.551,2.9,-1.349,1
xhab,datavyu,Exp.3,BP,2,6.567,7.3,-0.733,1
xhab,datavyu,Exp.3,BP,6,3.63,4.3,-0.67,1
xhab,datavyu,Exp.3,BP,5,7.062,7.4,-0.338,1
xhab,datavyu,Exp.3,BP,4,3.63,3.5,0.13,1
xhab,datavyu,Exp.3,NG,3,5.247,7.5,-2.253,1
xhab,datavyu,Exp.3,NG,6,14.19,15.3,-1.11,1
