row,experiment,subj_id,coder,orig_id,trial,newlook,look.orig,gap
1,Exp.1,S1_12,DE,01_21,1,15.51,14.8,0.71
2,Exp.1,S1_12,DE,01_21,2,24.387,23.8,0.587
3,Exp.1,S1_12,DE,01_21,3,33.495,33.4,0.095
4,Exp.1,S1_12,DE,01_21,4,45,45,0
5,Exp.1,S1_12,DE,01_21,5,28.38,26,2.38
6,Exp.1,S1_12,DE,01_21,6,7.887,8.9,-1.013
7,Exp.1,S1_13,DE,02_11_02,1,4.422,15.7,-11.278
8,Exp.1,S1_13,DE,02_11_02,2,9.405,11.1,-1.695
9,Exp.1,S1_13,DE,02_11_02,3,11.979,30.2,-18.221
10,Exp.1,S1_13,DE,02_11_02,4,5.379,7.9,-2.521
11,Exp.1,S1_13,DE,02_11_02,5,19.899,20.1,-0.201
12,Exp.1,S1_13,DE,02_11_02,6,4.488,5.3,-0.812
13,Exp.1,S1_14,NG,02_09_02,1,8.943,8.7,0.243
14,Exp.1,S1_14,NG,02_09_02,2,43.164,37.9,5.264
15,Exp.1,S1_14,NG,02_09_02,3,45,39.6,5.4
16,Exp.1,S1_14,NG,02_09_02,4,20.196,20.9,-0.704
17,Exp.1,S1_14,NG,02_09_02,5,45,39.4,5.6
18,Exp.1,S1_14,NG,02_09_02,6,3.663,3.1,0.563
19,Exp.1,S1_16,NG,01_07_02,1,27.225,28.1,-0.875
20,Exp.1,S1_16,NG,01_07_02,2,45,45,0
21,Exp.1,S1_16,NG,01_07_02,3,14.718,15,-0.282
22,Exp.1,S1_16,NG,01_07_02,4,23.595,23.6,-0.005
23,Exp.1,S1_16,NG,01_07_02,5,10.89,5.8,5.09
24,Exp.1,S1_16,NG,01_07_02,6,10.923,12,-1.077
25,Exp.1,S1_17,BP,02_16_02,1,9.603,11.6,-1.997
26,Exp.1,S1_17,BP,02_16_02,2,6.567,7.3,-0.733
27,Exp.1,S1_17,BP,02_16_02,3,1.551,2.9,-1.349
28,Exp.1,S1_17,BP,02_16_02,4,3.63,3.5,0.13
29,Exp.1,S1_17,BP,02_16_02,5,7.062,7.4,-0.338
30,Exp.1,S1_17,BP,02_16_02,6,3.63,4.3,-0.67
31,Exp.1,S1_18,DE,02_14_02,1,4.884,5.3,-0.416
32,Exp.1,S1_18,DE,02_14_02,2,2.211,2.6,-0.389
33,Exp.1,S1_18,DE,02_14_02,3,4.983,5,-0.017
34,Exp.1,S1_18,DE,02_14_02,4,2.079,2.4,-0.321
35,Exp.1,S1_18,DE,02_14_02,5,4.092,4.5,-0.408
36,Exp.1,S1_18,DE,02_14_02,6,4.488,4.6,-0.112
37,Exp.1,S1_19,BP,01_15_02,1,18.117,17.4,0.717
38,Exp.1,S1_19,BP,01_15_02,2,11.022,6.9,4.122
39,Exp.1,S1_19,BP,01_15_02,3,3.234,3.7,-0.466
40,Exp.1,S1_19,BP,01_15_02,4,7.491,8.3,-0.809
41,Exp.1,S1_19,BP,01_15_02,5,5.709,8.1,-2.391
42,Exp.1,S1_19,BP,01_15_02,6,14.685,12.8,1.885
43,Exp.1,S1_20,DE,02_02_02,1,15.765,16.2,-0.435
44,Exp.1,S1_20,DE,02_02_02,2,15.411,12.3,3.111
45,Exp.1,S1_20,DE,02_02_02,3,6.402,7.2,-0.798
46,Exp.1,S1_20,DE,02_02_02,4,10.494,8.7,1.794
47,Exp.1,S1_20,DE,02_02_02,5,7.128,7.9,-0.772
48,Exp.1,S1_20,DE,02_02_02,6,5.709,11.1,-5.391
49,Exp.1,S1_30,BP,01_24_02,1,7.26,6.5,0.76
50,Exp.1,S1_30,BP,01_24_02,2,2.739,3.1,-0.361
51,Exp.1,S1_30,BP,01_24_02,3,3.234,2.2,1.034
52,Exp.1,S1_30,BP,01_24_02,4,2.937,3.2,-0.263
53,Exp.1,S1_30,BP,01_24_02,5,21.483,13.4,8.083
54,Exp.1,S1_30,BP,01_24_02,6,4.257,2.9,1.357
55,Exp.1,S1_31,DE,02_22,1,2.145,2.7,-0.555
56,Exp.1,S1_31,DE,02_22,2,3.399,3.8,-0.401
57,Exp.1,S1_31,DE,02_22,3,3.102,3.8,-0.698
58,Exp.1,S1_31,DE,02_22,4,5.709,7.1,-1.391
59,Exp.1,S1_31,DE,02_22,5,8.481,8.2,0.281
60,Exp.1,S1_31,DE,02_22,6,7.062,6.5,0.562
61,Exp.1,S1_32,NG,02_21,1,2.343,3.3,-0.957
62,Exp.1,S1_32,NG,02_21,2,2.739,3.2,-0.461
63,Exp.1,S1_32,NG,02_21,3,5.247,7.5,-2.253
64,Exp.1,S1_32,NG,02_21,4,4.983,4.2,0.783
65,Exp.1,S1_32,NG,02_21,5,2.013,2.6,-0.587
66,Exp.1,S1_32,NG,02_21,6,14.19,15.3,-1.11
67,Exp.1,S1_33,BP,02_10_03,1,2.871,2.2,0.671
68,Exp.1,S1_33,BP,02_10_03,2,2.871,1.2,1.671
69,Exp.1,S1_33,BP,02_10_03,3,5.016,2.2,2.816
70,Exp.1,S1_33,BP,02_10_03,4,4.719,2.1,2.619
71,Exp.1,S1_33,BP,02_10_03,5,3.267,2.3,0.967
72,Exp.1,S1_33,BP,02_10_03,6,2.145,2,0.145
73,Exp.1,S1_34,NG,01_22,1,7.491,7.9,-0.409
74,Exp.1,S1_34,NG,01_22,2,6.534,7,-0.466
75,Exp.1,S1_34,NG,01_22,3,45,45,0
76,Exp.1,S1_34,NG,01_22,4,10.032,9.6,0.432
77,Exp.1,S1_34,NG,01_22,5,11.88,12.2,-0.32
78,Exp.1,S1_34,NG,01_22,6,6.336,6.8,-0.464
79,Exp.1,S1_35,BP,01_20_03,1,7.095,6.8,0.295
80,Exp.1,S1_35,BP,01_20_03,2,6.27,6.5,-0.23
81,Exp.1,S1_35,BP,01_20_03,3,2.409,2.9,-0.491
82,Exp.1,S1_35,BP,01_20_03,4,2.112,2.3,-0.188
83,Exp.1,S1_35,BP,01_20_03,5,4.752,5.3,-0.548
84,Exp.1,S1_35,BP,01_20_03,6,2.046,2.3,-0.254
85,Exp.1,S1_36,DE,01_23,1,23.199,23.7,-0.501
86,Exp.1,S1_36,DE,01_23,2,32.571,26.7,5.871
87,Exp.1,S1_36,DE,01_23,3,6.996,7.4,-0.404
