id,subj_id
01_05_02,NA
01_04,NA
01_16,NA
02_06,NA
01_08,NA
02_01,NA
01_17,S1_1
02_19,S1_2
01_13,S1_3
01_11,S1_4
02_08,S1_5
01_10,S1_6
01_09,S1_7
02_05,S1_8
02_04,S1_9
01_02,S1_10
01_01,S1_11
01_21,S1_12
02_11_02,S1_13
02_09_02,S1_14
02_03_02,S1_15
01_07_02,S1_16
02_16_02,S1_17
02_14_02,S1_18
01_15_02,S1_19
02_02_02,S1_20
02_12_02,S1_21
01_18,S1_22
02_20,S1_23
02_18,S1_24
02_17,S1_25
02_15,S1_26
02_13,S1_27
01_12,S1_28
01_06,S1_29
01_24_02,S1_30
02_22,S1_31
02_21,S1_32
02_10_03,S1_33
01_22,S1_34
01_20_03,S1_35
01_23,S1_36
02_07_03,S1_37
01_14_02,S1_38
01_03_02,S1_39
01_19,S1_40
4-OM,S2_1
11-LB,S2_2
7-LM,S2_3
2-AD,S2_4
17-KP,S2_5
19-JH,S2_6
15-CW,S2_7
20-LO,S2_8
18-ZD,S2_9
12-JT,S2_10
9-FKS,S2_11
13-AU,S2_12
8-LS,S2_13
1-WW,S2_14
3-KJ,S2_15
6-DY,S2_16
16-TA,S2_17
14-CS,S2_18
10-KN,S2_19
5-JS,S2_20
1-WF,S3_1
3-ES,S3_2
4-NM,S3_3
6-DL,S3_4
10-LA,S3_5
11-KY,S3_6
12-SM,S3_7
14-CK,S3_8
15-NI,S3_9
17-EC,S3_10
18-NZ,S3_11
19-CM,S3_12
20-AG,S3_13
23-LF,S3_14
27-HR,S3_15
28-HC,S3_16
29-TD,S3_17
34-CK,S3_18
35-GW,S3_19
36-JH,S3_20
39-JB,S3_21
41-JI,S3_22
43-JI,S3_23
44-ZL,S3_24
46-AB,S3_25
49-AD,S3_26
2-YA,S3_27
5-AA,S3_28
7-AM,S3_29
8-DN,S3_30
9-YL,S3_31
13-DS,S3_32
16-AB,S3_33
21-CD,S3_34
22-JB,S3_35
24-VS,S3_36
25-WR,S3_37
26-WS,S3_38
30-FF,S3_39
31-LD,S3_40
32-AL,S3_41
33-VP,S3_42
37-LF,S3_43
38-NM,S3_44
40-JJ,S3_45
42-RN,S3_46
45-JD,S3_47
47-PW,S3_48
48-HS,S3_49
50-SC,S3_50
51-CK,S3_51
52-AC,S3_52
7-AA,S4_1
3-RF,S4_2
2-HS,S4_3
4-ZF,S4_4
20-RB,S4_5
19-ID,S4_6
17-ES,S4_7
16-JM,S4_8
12-MN,S4_9
11-VB,S4_10
10-SW,S4_11
8-DS,S4_12
6-NS,S4_13
9-KR,S4_14
5-PC,S4_15
1-ZM,S4_16
15-EK,S4_17
18-CC,S4_18
13-BG,S4_19
14-YS,S4_20
8-VP,S5_1
11-LP,S5_2
7-MT,S5_3
4-JW,S5_4
1-CK,S5_5
16-SJ,S5_6
10-COM,S5_7
20-SH,S5_8
17-LW,S5_9
12-EA,S5_10
13-MZ,S5_11
6-RB,S5_12
2-SW,S5_13
5-VCB,S5_14
3-ISO,S5_15
18-GK,S5_16
19-JBD,S5_17
15-OC,S5_18
14-FZ,S5_19
9-CHP,S5_20
